,product_id,onsale_web,price,stock_quantity,stock_status
635,5892,1,191.3,10,instock
636,5893,1,26.6,65,instock
637,5894,1,15.4,18,instock
638,5896,1,24.7,17,instock
639,5899,1,28.1,0,outofstock
640,5900,1,18.25,0,outofstock
641,5902,1,35.1,9,instock
642,5903,1,27.3,1,instock
643,5904,1,18.8,25,instock
644,5905,1,43.9,0,outofstock
645,5906,1,19.8,0,outofstock
646,5907,1,17.7,5,instock
647,5912,1,57.0,8,instock
648,5913,1,36.0,9,instock
649,5914,1,36.0,2,instock
650,5916,1,93.0,3,instock
651,5917,1,122.0,4,instock
652,5918,1,114.0,8,instock
653,5922,1,48.5,0,outofstock
654,5925,1,49.5,12,instock
655,5930,1,14.1,66,instock
656,5932,1,59.9,3,instock
657,5950,1,46.0,0,outofstock
658,5951,1,74.5,6,instock
659,5952,0,42.5,0,outofstock
660,5953,0,47.5,0,outofstock
661,5954,0,18.8,0,outofstock
662,5955,0,27.3,0,outofstock
663,5956,1,17.2,12,instock
664,5957,0,39.0,0,outofstock
665,5958,1,8.7,44,instock
666,5959,1,15.4,32,instock
667,5960,1,12.7,27,instock
668,5962,1,30.0,22,instock
669,5963,1,13.5,28,instock
670,5964,1,16.3,11,instock
671,5967,1,56.3,9,instock
672,5968,1,71.5,18,instock
673,5969,1,69.0,0,outofstock
674,6035,1,17.9,21,instock
675,6038,1,48.5,11,instock
676,6041,1,71.7,4,instock
677,6042,1,8.5,0,outofstock
678,6047,1,10.9,46,instock
679,6049,1,21.8,6,instock
680,6050,1,38.5,0,outofstock
681,6070,1,9.3,124,instock
682,6072,1,13.6,41,instock
683,6073,1,24.5,19,instock
684,6093,1,12.6,0,outofstock
685,6094,1,13.4,2,instock
686,6095,1,29.8,3,instock
687,6100,0,12.9,0,outofstock
688,6101,1,36.9,16,instock
689,6103,1,40.7,0,outofstock
690,6104,1,33.2,0,outofstock
691,6105,1,34.8,1,instock
692,6106,1,74.8,15,instock
693,6107,1,62.4,4,instock
694,6108,1,46.0,0,outofstock
695,6109,1,39.2,0,outofstock
696,6125,0,14.2,0,outofstock
697,6126,1,135.0,10,instock
698,6127,1,10.6,66,instock
699,6128,1,10.6,50,instock
700,6129,1,5.2,30,instock
701,6137,1,46.0,0,outofstock
702,6201,1,105.6,7,instock
703,6202,1,116.4,14,instock
704,6204,1,31.0,7,instock
705,6205,1,20.2,109,instock
706,6206,1,25.2,120,instock
707,6207,1,25.2,363,instock
708,6212,1,115.0,2,instock
709,6213,1,121.0,7,instock
710,6214,1,99.0,7,instock
711,6215,1,115.0,4,instock
712,6216,1,121.0,6,instock
713,6221,1,23.5,3,instock
714,6222,1,26.4,10,instock
715,6223,1,26.7,1,instock
716,6225,1,20.4,0,outofstock
717,6226,1,20.4,0,outofstock
718,6227,1,40.2,15,instock
719,6278,1,9.0,69,instock
720,6279,1,45.9,10,instock
721,6280,1,10.4,0,outofstock
722,6299,1,78.0,10,instock
723,6301,1,40.5,20,instock
724,6324,0,92.0,18,instock
725,6325,1,27.9,7,instock
726,6327,0,28.5,0,outofstock
727,6328,1,22.4,7,instock
728,6567,1,28.4,9,instock
729,6568,1,72.0,19,instock
730,6569,1,29.0,6,instock
731,6570,1,29.2,0,outofstock
